gene_id,Cont_JSY,Cont_LCM,Cont_LMH,Cont_LSA,Cont_T13008,IJHC1203,IJHC1215,IJHC1219,IJHC1231,T17012,T17013,T17015,T17019
23266,6268,4371,3809,3694,4380,4616,5582,2604,7642,3032,3971,3175,3064
23264,11521,8965,11004,10720,9093,10952,11793,9459,15513,11665,10659,10130,9522
23265,11283,8854,11032,9929,9574,10449,11766,8734,12108,10196,10547,9662,8966
132660,648,704,762,785,727,802,911,674,1059,850,958,865,913
23263,0,0,0,0,0,0,0,3,0,0,0,3,0
23261,1122,964,1005,973,1090,1055,951,699,1446,716,891,920,894
7569,543,366,342,443,265,339,450,267,483,306,408,500,567
23268,2195,1613,2083,1689,2655,2138,2706,1675,5627,1864,2157,1975,1872
23269,2621,1988,2096,2284,1997,2377,2795,2003,3194,2681,2854,2749,2498
643246,61,80,55,67,60,86,44,58,63,50,72,47,55
128859,0,0,0,0,0,0,0,0,0,0,0,0,0
128854,162,130,229,114,123,121,167,111,169,136,194,211,141
128853,55,51,49,35,34,33,36,7,0,7,29,11,20
448835,0,0,0,0,0,0,0,0,0,0,0,0,0
448834,0,3,0,0,0,0,0,0,0,0,0,0,0
6778,19028,11711,14435,13734,12063,13129,14810,12376,14679,13108,13060,13560,12663
6779,0,0,0,0,0,0,0,0,0,0,0,0,0
448831,0,0,0,0,0,0,0,0,0,0,0,0,0
6774,19537,13577,14406,12378,10067,12149,13393,10445,11930,12697,14130,13458,13566
6775,1785,617,1183,2588,692,1249,1764,996,518,1541,680,1199,546
6776,1879,1153,1576,1150,815,1066,1160,1108,599,1442,1202,1450,994
6777,5651,4208,5144,3450,3676,4343,4229,3080,4591,3790,4759,3502,4483
6770,0,0,0,0,0,9,9,9,6,11,0,6,3
6772,29233,19266,23568,29830,26688,54360,51263,28767,39395,25211,28493,35060,26610
6773,15027,8563,9488,7509,6815,4249,11845,8122,6902,6907,6101,8229,9774
92745,968,1339,2553,2058,3348,2221,2559,2781,2388,2533,2103,2786,2625
92747,0,0,0,0,0,0,0,0,0,0,0,0,0
92749,14,6,5,9,9,9,3,6,0,15,17,0,6
201895,6843,6523,6039,7288,5281,10127,6807,4847,6702,5840,6796,7596,5446
100507250,0,0,5,0,0,0,0,0,6,6,0,3,3
100507257,781,324,686,404,754,369,838,638,918,410,478,538,688
100507254,209,439,97,84,42,77,58,31,22,20,102,26,43
1678,351,224,265,356,277,288,360,265,494,246,223,292,277
100506122,0,0,0,0,0,0,0,0,0,0,0,0,0
100506123,308,0,105,142,127,0,96,53,102,0,0,88,124
376844,0,0,0,0,0,0,0,0,0,0,0,0,0
100506126,0,0,0,0,0,0,3,0,0,0,0,0,0
100506127,167,125,137,66,120,43,143,70,161,104,120,106,161
100506124,140,99,85,89,82,22,135,64,58,41,66,54,57
100506125,0,0,0,0,0,0,0,0,0,0,11,0,0
121549,0,0,0,0,0,0,0,0,0,0,0,0,0
101928068,78,46,66,23,65,9,40,45,30,35,26,54,97
117194,0,0,0,0,0,0,0,0,0,0,0,0,0
440446,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,0,0,0
653113,90,115,65,173,151,81,97,78,72,70,53,166,136
135946,0,0,0,3,0,0,0,0,0,0,0,0,0
135941,0,0,0,0,0,0,0,0,0,0,0,0,0
135948,0,0,6,0,0,0,0,0,2,3,0,3,0
391112,0,0,0,0,0,0,0,0,0,0,0,0,0
5058,1482,1262,1463,1954,1541,1730,1695,1276,2729,1678,1753,1624,1503
391114,0,0,0,0,0,0,0,0,0,0,0,0,0
5054,204098,306593,346347,487899,313850,515830,476084,419820,536437,386932,360770,315191,250553
5055,38,22,0,0,14,0,3,0,88,0,6,0,0
5050,782,455,682,502,747,544,569,452,1282,468,445,580,556
5051,1045,774,940,1051,704,1016,1043,729,1082,953,1097,1102,1058
5052,15592,13203,14473,17102,16575,17133,15560,12590,23088,12962,12349,13581,12211
5053,0,0,0,0,0,0,0,0,0,0,0,0,0
64902,0,0,0,0,0,0,0,0,0,0,0,0,0
64900,1874,1412,1337,1135,1056,725,1539,1183,1523,1042,1335,1515,2230
100507096,0,0,0,0,0,2,0,0,3,0,0,0,3
400506,959,949,818,1028,853,1196,1073,829,1688,1044,1182,1066,1268
400500,0,0,3,0,0,0,0,0,0,0,0,0,0
400508,14,5,0,24,9,10,15,18,11,9,8,20,14
203611,0,0,0,0,0,0,0,0,0,0,0,0,0
146456,12,5,5,12,0,4,5,0,0,4,3,0,3
100505648,115,94,137,93,71,103,233,165,129,148,218,128,213
89941,7150,3889,6770,4419,5105,2739,5377,3662,6640,3497,3154,3390,4192
100505641,10035,8575,9972,12620,10944,8511,9255,6809,9938,9002,10148,9341,9261
89944,18,9,11,3,9,3,12,6,6,3,5,7,0
100861510,0,3,0,3,7,0,0,0,0,0,0,0,6
203238,210,157,96,166,137,188,234,131,162,186,178,201,177
83637,7431,4768,7098,5698,4557,4754,4841,4469,4887,4553,5321,4846,4996
83636,2988,2593,2618,2479,1957,2664,2332,2021,2845,2220,2762,2531,2368
390243,0,0,0,0,0,0,0,0,0,0,0,0,0
390245,0,0,0,0,0,0,0,0,0,0,0,0,0
379013,42,30,27,19,18,3,9,17,11,6,0,6,5
83639,0,3,0,0,0,0,2,0,0,0,0,0,0
83638,4341,2990,3898,3544,3718,4122,3774,3151,5387,3319,3371,3340,2950
728411,522,248,347,278,381,220,361,261,407,224,270,316,263
26071,3617,2157,3417,2497,2492,2300,2783,2175,2794,2133,2600,2194,2438
729025,0,43,3,7,0,7,6,9,0,0,6,3,0
729020,2,2,2,2,3,0,2,0,0,4,0,0,0
8034,926,753,756,967,847,898,876,653,1152,695,800,744,888
8036,5090,5475,4026,5551,4471,7076,5351,4334,6052,4359,5690,6369,4902
8031,13616,11031,6765,12264,10875,14887,8953,6997,16078,11905,13088,12964,10802
